<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBRX.US,5,20240509,215000,8.08,8.14,8.06,8.125,92731,0
IBRX.US,5,20240509,215500,8.12,8.12,8.01,8.06,339993,0
IBRX.US,5,20240510,153000,7.88,8.0799,7.85,7.9001,98075,0
IBRX.US,5,20240510,153500,7.925,8.0799,7.88,7.9,65140,0
IBRX.US,5,20240510,154000,7.9027,7.94,7.83,7.9,56055,0
IBRX.US,5,20240510,154500,7.89,7.92,7.75,7.78,145820,0
IBRX.US,5,20240510,155000,7.77,7.92,7.73,7.92,84975,0
IBRX.US,5,20240510,155500,7.92,8.0599,7.91,8.03,43229,0
IBRX.US,5,20240510,160000,8.05,8.14,7.95,8.13,90103,0
IBRX.US,5,20240510,160500,8.1299,8.16,8.065,8.12,77780,0
IBRX.US,5,20240510,161000,8.11,8.31,8.09,8.1324,202678,0
IBRX.US,5,20240510,161500,8.13,8.22,8.11,8.132,35218,0
IBRX.US,5,20240510,162000,8.13,8.14,8.06,8.09,48670,0
IBRX.US,5,20240510,162500,8.09,8.13,8.03,8.055,22519,0
IBRX.US,5,20240510,163000,8.04,8.07,7.9901,8.04,48165,0
IBRX.US,5,20240510,163500,8.0435,8.06,7.9799,8.0097,33953,0
IBRX.US,5,20240510,164000,8.005,8.02,7.91,7.9788,62966,0
IBRX.US,5,20240510,164500,7.98,7.99,7.935,7.96,18854,0
IBRX.US,5,20240510,165000,7.955,7.97,7.89,7.895,37412,0
IBRX.US,5,20240510,165500,7.895,7.97,7.8901,7.942,31180,0
IBRX.US,5,20240510,170000,7.94,7.95,7.91,7.91,14918,0
IBRX.US,5,20240510,170500,7.915,8,7.91,7.93,29799,0
IBRX.US,5,20240510,171000,7.925,8.03,7.9149,8.025,50661,0
IBRX.US,5,20240510,171500,8.0299,8.08,8.015,8.0302,29800,0
IBRX.US,5,20240510,172000,8.0199,8.215,8,8.215,90631,0
IBRX.US,5,20240510,172500,8.22,8.24,8.15,8.1626,50759,0
IBRX.US,5,20240510,173000,8.16,8.18,8.09,8.16,48249,0
IBRX.US,5,20240510,173500,8.15,8.16,8.1,8.15,19357,0
IBRX.US,5,20240510,174000,8.1799,8.18,8.135,8.135,17683,0
IBRX.US,5,20240510,174500,8.13,8.2711,8.12,8.2662,98993,0
IBRX.US,5,20240510,175000,8.26,8.28,8.17,8.185,39412,0
IBRX.US,5,20240510,175500,8.18,8.2,8.12,8.13,44013,0
IBRX.US,5,20240510,180000,8.15,8.15,7.98,7.9899,37590,0
IBRX.US,5,20240510,180500,7.99,7.995,7.919,7.97,47936,0
IBRX.US,5,20240510,181000,7.96,7.96,7.88,7.8954,73761,0
IBRX.US,5,20240510,181500,7.885,7.9199,7.83,7.8585,57368,0
